Year of Period,Month of Period,Unit,Coal,Combust. Renew.,Hydro,Natural Gas,Oil,Other,Peat & BM,Solar Farms,Wastes,Wind
2023,January,GWh,147,18,121,1239,11,1,39,2,54,1231
2023,February,GWh,81,17,55,1155,50,1,40,7,38,1122
2023,March,GWh,126,18,82,1295,16,1,57,15,47,1133
2023,April,GWh,94,19,91,1289,1,1,55,37,51,977
2023,May,GWh,83,18,40,1421,0,2,57,63,56,580
2023,June,GWh,100,12,7,1358,3,1,54,56,44,542
2023,July,GWh,86,14,60,1159,0,1,0,60,37,877
2023,August,GWh,76,13,89,1134,0,1,0,55,57,888
2022,January,GWh,309,14,95,1308,133,1,71,0,53,995
2022,February,GWh,243,12,97,784,7,1,56,0,46,1513
2022,March,GWh,279,14,88,1126,183,1,63,0,53,933
2022,April,GWh,158,13,32,1290,60,1,50,0,50,839
2022,May,GWh,126,14,21,1331,43,1,58,0,53,854
2022,June,GWh,128,13,14,1389,41,1,64,0,27,726
2022,July,GWh,292,15,17,1556,11,1,15,0,56,521
2022,August,GWh,256,14,6,1637,29,1,47,3,54,509
2022,September,GWh,285,13,24,1347,36,1,66,3,54,643
2022,October,GWh,109,12,93,1057,53,1,52,3,45,1251
2022,November,GWh,109,13,121,1132,30,1,54,2,49,1335
2022,December,GWh,226,14,86,1404,94,1,56,2,51,1030
2021,January,GWh,271,13,131,1318,45,2,58,0,54,951
2021,February,GWh,90,12,124,910,13,1,50,0,41,1348
2021,March,GWh,128,13,87,1236,30,2,64,0,55,962
2021,April,GWh,225,12,44,1225,42,1,64,0,55,642
2021,May,GWh,247,13,39,989,81,2,74,0,54,745
2021,June,GWh,220,11,14,1193,80,1,68,0,25,587
2021,July,GWh,215,12,10,1343,136,2,1,0,50,296
2021,August,GWh,249,12,36,1322,45,2,49,0,56,547
2021,September,GWh,274,12,19,1208,172,1,71,0,52,521
2021,October,GWh,230,11,70,1023,184,2,55,0,53,956
2021,November,GWh,311,11,71,1148,171,1,59,0,51,936
2021,December,GWh,321,11,96,1079,159,1,69,0,56,1226
2020,January,GWh,4,16,104,1174,12,2,197,0,49,1176
2020,February,GWh,0,16,115,951,5,2,160,0,45,1498
2020,March,GWh,28,16,125,1118,10,2,157,0,51,1163
2020,April,GWh,74,16,33,1264,7,2,79,0,50,574
2020,May,GWh,10,15,9,1398,11,2,55,0,47,768
2020,June,GWh,83,15,10,1367,25,1,56,0,35,725
2020,July,GWh,102,16,44,1445,21,2,4,0,55,762
2020,August,GWh,101,15,69,1502,49,2,18,0,53,629
